block,id,species,source,totalbm
1,lf.1,VM,EP,0.306384
1,lf.2,EP,cont,0.53409
1,lf.3,EP,CA,0.882561333
1,lf.4,AN,CA,0.01162
1,lf.6,EP,cont,0.959702667
1,lf.7,EP,EP,0.093
1,lf.8,VM,CA,0.41542
1,lf.9,CA,VM,0.742517
1,lf.11,CA,cont,0.392959
1,lf.12,CA,cont,0.604948
1,lf.14,CA,VM,0.032456
1,lf.15,VM,AN,0.234971
1,lf.16,EP,EP,0.374771
1,lf.17,AN,VM,0.740586667
1,lf.18,AN,AN,0.760785
1,lf.19,AN,EP,0.4607
1,lf.20,VM,cont,1.08678
1,lf.21,EP,EP,1.014813667
1,lf.22,AN,EP,0.125476
1,lf.24,CA,CA,0.031436
1,lf.26,AN,cont,0.468892667
1,lf.27,AN,CA,0.510972
1,lf.29,AN,AN,0.355478
1,lf.30,VM,VM,0.077178
1,lf.32,EP,EP,0.535798
1,lf.34,AN,VM,0.212
1,lf.35,EP,AN,0.845072333
1,lf.38,VM,cont,0.493435
1,lf.39,AN,AN,0.655816
1,lf.40,EP,AN,0.843158333
1,lf.41,EP,CA,1.724005
1,lf.43,VM,AN,0.088
1,lf.45,CA,CA,0.287277
1,lf.46,EP,VM,1.137945
1,lf.47,AN,cont,0.484346667
1,lf.48,EP,VM,1.124898667
2,lf.49,AN,EP,0.813864667
2,lf.50,EP,AN,1.108948667
2,lf.51,AN,AN,0.777251667
2,lf.53,CA,CA,0.030013
2,lf.54,AN,VM,0.611329
2,lf.55,AN,EP,0.620793667
2,lf.57,CA,EP,0.027886
2,lf.58,EP,cont,0.730049667
2,lf.59,AN,AN,0.346562
2,lf.60,VM,CA,0.311959
2,lf.61,CA,cont,0.249599
2,lf.62,CA,VM,0.512320333
2,lf.63,AN,CA,0.399587
2,lf.64,CA,VM,0.572224333
2,lf.65,VM,CA,0.284143
2,lf.66,CA,AN,0.261868
2,lf.67,VM,cont,0.385532667
2,lf.68,AN,AN,0.431620667
2,lf.69,VM,AN,0.045066
2,lf.70,VM,VM,0.417586
2,lf.71,AN,VM,0.6934
2,lf.72,EP,EP,0.702075
2,lf.73,AN,CA,0.08
2,lf.74,CA,cont,0.454674667
2,lf.75,VM,VM,0.408905
2,lf.76,EP,EP,0.409485667
2,lf.77,CA,CA,0.407077
2,lf.78,EP,VM,0.820469667
2,lf.79,VM,EP,0.410536333
2,lf.80,AN,cont,0.479496333
2,lf.81,EP,CA,0.567514
2,lf.82,VM,EP,0.341184
2,lf.83,EP,EP,0.816390333
2,lf.84,EP,EP,1.194006667
2,lf.85,CA,CA,0.012814
2,lf.86,VM,VM,0.588871333
2,lf.87,AN,cont,0.478520333
2,lf.88,EP,AN,0.899820333
2,lf.89,EP,CA,0.752826667
2,lf.90,EP,cont,0.848363
2,lf.91,VM,VM,0.284065
2,lf.92,AN,AN,0.449912667
2,lf.93,EP,VM,1.42331
2,lf.94,VM,cont,0.13
2,lf.95,CA,CA,0.357481
2,lf.96,VM,AN,0.652201
3,lf.97,EP,VM,0.740153667
3,lf.98,VM,cont,0.969738667
3,lf.99,CA,VM,0.284996
3,lf.100,VM,cont,0.41167
3,lf.101,VM,VM,0.3444
3,lf.102,VM,EP,0.113857
3,lf.103,VM,AN,0.805870333
3,lf.104,EP,AN,1.052329
3,lf.105,VM,CA,0.35132
3,lf.106,EP,EP,0.646716333
3,lf.107,AN,AN,0.414651
3,lf.108,CA,cont,0.542632
3,lf.109,AN,cont,0.470716
3,lf.110,VM,CA,0.554105
3,lf.111,CA,VM,0.579523667
3,lf.112,AN,EP,0.1
3,lf.113,EP,EP,0.444284
3,lf.114,CA,CA,0.0191
3,lf.115,AN,cont,0.602929667
3,lf.116,EP,EP,0.527338667
3,lf.117,AN,EP,0.419017667
3,lf.118,AN,CA,0.86861
3,lf.119,VM,VM,0.540754333
3,lf.120,CA,AN,0.690121
3,lf.121,VM,VM,0.527757333
3,lf.122,CA,cont,0.426709333
3,lf.123,AN,AN,0.035799
3,lf.124,AN,CA,0.339982
3,lf.125,VM,AN,0.040998
3,lf.126,EP,cont,0.856234
3,lf.127,AN,VM,0.237095
3,lf.128,EP,EP,0.586284333
3,lf.129,VM,VM,0.106968
3,lf.130,AN,AN,0.281964
3,lf.131,EP,CA,0.946408667
3,lf.132,CA,CA,0.008055
3,lf.134,AN,VM,0.822603333
3,lf.135,CA,AN,0.718069
3,lf.136,CA,CA,0.039213
3,lf.137,CA,CA,0.016692
3,lf.138,EP,AN,0.649474
3,lf.139,AN,AN,0.394801
3,lf.140,VM,EP,0.083168
3,lf.141,EP,cont,0.838859667
3,lf.142,EP,VM,1.460408667
3,lf.143,CA,EP,0.631564
3,lf.144,EP,CA,0.829528667
